Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
9/20/2018,Cash,Transportation,Train,2 Place 5 to Place 0,30,Expense,INR
9/20/2018,Cash,Food,snacks,Idli medu Vada mix 2 plates,60,Expense,INR
9/19/2018,Saving Bank account 1,subscription,Netflix,1 month subscription,199,Expense,INR
9/17/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19,Expense,INR
9/16/2018,Cash,Festivals,Ganesh Pujan,Ganesh idol,251,Expense,INR
9/15/2018,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200,Expense,INR
9/14/2018,Cash,Transportation,auto,Place 2 station to Permanent Residence,50,Expense,INR
9/13/2018,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40,Expense,INR
9/13/2018,Credit Card,Other,,HBR 2 Months subscription,83,Expense,INR
9/13/2018,Cash,Food,Grocery,1kg atta,46,Expense,INR
9/13/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR
9/13/2018,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR
9/12/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,667,Expense,INR
9/11/2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,650,Expense,INR
9/11/2018,Saving Bank account 1,Other,,From Family,3500,Income,INR
9/11/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
9/10/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
9/8/2018,Cash,Family,Pocket money,,40,Expense,INR
9/7/2018,Cash,Food,Milk,Half lit  milk,37,Expense,INR
9/7/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Transfer-Out,INR
9/6/2018,Cash,Food,snacks,Amul butter,55,Expense,INR
9/5/2018,Cash,Apparel,Laundry,11 clothes ironing,77,Expense,INR
9/5/2018,Cash,Food,snacks,Chinese Bhel,30,Expense,INR
9/5/2018,Cash,Food,snacks,Shev Puri,40,Expense,INR
9/5/2018,Cash,Food,snacks,2 kachori,24,Expense,INR
9/5/2018,Saving Bank account 1,Food,Milk,Half lit  milk,36,Expense,INR
9/5/2018,Saving Bank account 1,Food,breakfast,Bread,18,Expense,INR
9/3/2018,Cash,Family,Pocket money,,2000,Expense,INR
9/1/2018,Saving Bank account 1,Public Provident Fund,,,12500,Transfer-Out,INR
9/1/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Transfer-Out,INR
8/31/2018,Cash,Family,Pocket money,,1000,Expense,INR
8/31/2018,Cash,Gift,,farewell contribution,118,Expense,INR
8/31/2018,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR
8/31/2018,Saving Bank account 1,Salary,,From workplace ,70255,Income,INR
8/31/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
8/30/2018,Cash,Food,Sweets,Warna Srikhand pav kg,78,Expense,INR
8/30/2018,Cash,Household,Kirana,Supermart,343,Expense,INR
8/29/2018,Cash,Food,Grocery,Baking soda,27,Expense,INR
8/29/2018,Cash,Food,Ice cream,chocobar,15,Expense,INR
8/29/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
8/28/2018,Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,6.75,Income,INR
8/28/2018,Saving Bank account 1,Dividend earned on Shares,,Reliance Stocks,18,Income,INR
8/27/2018,Cash,Food,curd,Dahi 2 packets,20,Expense,INR
8/27/2018,Cash,Food,breakfast,2 plates poha,60,Expense,INR
8/27/2018,Cash,Food,Biscuits,Khari packet,45,Expense,INR
8/27/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
8/26/2018,Saving Bank account 1,Interest,,interest paid,30,Income,INR
8/25/2018,Cash,Apparel,Laundry,13 clothes ironing,91,Expense,INR
8/24/2018,Credit Card,Food,Dinner,Home Food Delivery,1120,Expense,INR
8/24/2018,Saving Bank account 1,Other,,From Family,1000,Income,INR
